SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Capacity,Filter_Star,Filter_Type,Filter_Ideal for Family size,Filter_Defrosting type,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_REFRIGERATOR_2-DOOR-BM,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT30C3733B1,45990,,,Black Matt,256L,3,Double Door,,,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt30c3733b1-hl/gallery/in-top-mount-freezer-convertible-freezer-rt30c3733b1-hl-549006670?$684_547_PNG$,,,,,,,,,,,,,,
SAM_REFRIGERATOR_2-DOOR-EI,SAM-REF-Convertible-2Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RT30C3733S8,45990,,,Elegant Inox,256L,3,Double Door,,,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rt30c3733s8-hl/gallery/in-top-mount-freezer-convertible-freezer-rt30c3733s8-hl-549006979?$684_547_PNG$,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-I,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS76CG8003S9,113000,,,Inox,653L,3,Side by side door,,Twin Cooling Plus,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8003s9hl/gallery/in-side-by-side-smart-conversion-rs76cg8003s9hl-534630761?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8003s9hl/gallery/in-side-by-side-smart-conversion-rs76cg8003s9hl-thumb-534630758?$64_64_PNG$,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-B DOI,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS76CG8003B1,121000,,,Black DOI,653L,3,Side by side door,,Twin Cooling Plus,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8003b1hl/gallery/in-side-by-side-smart-conversion-473881-rs76cg8003b1hl-537728316?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rs76cg8003b1hl/gallery/in-side-by-side-smart-conversion-473881-rs76cg8003b1hl-thumb-537728312?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_1-DOOR-PBB,SAM-REF-Horizontal-1Door,Samsung Convertible Double Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RR23D2H359U,30999,,,Paradise Bloom Blue,215L,5,One Door,,Direct Cool,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rr23d2h359u-hl/gallery/in-next-crown-door-and-handle-of-horizontal-design-492036-rr23d2h359u-hl-549050179?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rr23d2h359u-hl/gallery/in-next-crown-door-and-handle-of-horizontal-design-492036-rr23d2h359u-hl-thumb-539528398?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-I,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS78CG8543S9,152000,,,Inox,633L,3,Side by side door,,Twin Cooling Plus,,,,,,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-BM,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS78CG8543B1,162000,,,Black Matt,633L,3,Side by side door,,Twin Cooling Plus,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs78cg8543s9hl/gallery/in-side-by-side-smart-conversion-449598-rs78cg8543s9hl-535107895?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rs78cg8543s9hl/gallery/in-side-by-side-smart-conversion-449598-rs78cg8543s9hl-thumb-535107889?$64_64_PNG$,,,,,,,,,,,,,
SAM_REFRIGERATOR_Side By SIde-DOOR-RS,SAM-REF-Side by Side-Door,Samsung Convertible 5in1 Side By Side Door Refrigerator,Samsung,Refrigerator,Home & Kitchen Appliances,RS78CG8543SL,160000,,,Real Stainless,633L,3,Side by side door,,Twin Cooling Plus,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs78cg8543b1hl/gallery/in-side-by-side-smart-conversion-449598-rs78cg8543b1hl-535107876?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/rs78cg8543b1hl/gallery/in-side-by-side-smart-conversion-449598-rs78cg8543b1hl-thumb-535107870?$64_64_PNG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,https://images.samsung.com/is/image/samsung/p6pim/in/rs78cg8543slhl/gallery/in-side-by-side-smart-conversion-449598-rs78cg8543slhl-535107914?$684_547_PNG$,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Capacity,Filter_Star,Filter_Type,App Connectivity,,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
WindFree Inverter Split AC,SAM-SPLIT-AC,WindFree Inverter Split AC,Samsung,Air Conditioner,Home Appliance,AR60F19D15W,84790,,,White,1.0 Ton (3.5 kW approx),5 Star,WindFree / Normal / Auto / Convertible 5-in-1,SmartThings / Wi-Fi.,,,,,https://images.samsung.com/is/image/samsung/p6pim/in/ar60f19d15wnna/energylabel/in-energylabel-product-ar60f19d15wnna-549428511?$684_547_PNG$,https://images.samsung.com/is/image/samsung/p6pim/in/ar60f19d15wnna/gallery/in-ar9500tar70f12caawneu-ar60f19d15wnna-544633666?$Q90_1368_1094_F_JPG$,https://images.samsung.com/is/image/samsung/p6pim/in/ar60f19d15wnna/gallery/in-ar9500tar70f12caawneu-ar60f19d15wnna-545274241?$Q90_1368_1094_F_JPG$,,,,https://youtu.be/BEy8i1To7Tg,https://youtu.be/Z8Jcmb6A8yY,,,,,,,
