SKU,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Control type,Filter_Star,Filter_Type,Filter_Capacity,Filter_Power Consumption,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=806,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=806,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=807,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=807,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=808,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=808,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=809,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=809,,,,,,,,,,,,,
LG MIcrowave Oven,NeoChef / Solo series,"LG 20 L Solo Microwave Oven (i-Wave, Anti-Bacterial cavity)",LG, MIcrowave Oven,Home & Kitchen appliances,MS2043DB,8799,,,Gloss Black,,,,20L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=810,https://www.lg.com/content/dam/channel/wcms/in/images/microwave-ovens/mh2044db_db1qiln_eail_in_c/gallery/MH2044DB-microwave-ovens-Front-Open-view-DZ-02.jpg?w=810,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG Dishwasher,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LG Dishwasher,",,"LG Dishwasher, TrueSteam, 14 Place Settings, EasyRack Plus, QuadWash, ThinQ (Wi-Fi), Inverter Direct Drive",LG,Dishwasher,Home & Kitchen appliances,DFB424FP,62999,,,Silver,,,,,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb424fp_apzpeil_eail_in_c/gallery/01-1600x1062.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb424fp_apzpeil_eail_in_c/gallery/02-1600x1062.jpg?w=800,,,,,,,,,,,,,
"LG Dishwasher,",,"LG Dishwasher, TrueSteam, 14 Place Settings, QuadWash, EasyRack Plus, ThinQ (Wi-Fi), Direct Drive Motor, ",LG,Dishwasher,Home & Kitchen appliances,DFB424FM,73899,,,Matt Black,,,,,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb424fm_abmpeil_eail_in_c/gallery/DFB424FM-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb424fm_abmpeil_eail_in_c/gallery/DFB424FM-DZ-02.jpg?w=800,,,,,,,,,,,,,
"LG Dishwasher,",,"LG Dishwasher, TrueSteam, 14 Place Settings, QuadWash, EasyRack Plus, ThinQ (Wi-Fi), Inverter Direct Drive, ",LG,Dishwasher,Home & Kitchen appliances,DFB532FP,59999,,,Silver,,,,,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb532fp_apzpeil_eail_in_c/gallery/DFB532FP-Dishwasher-front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb532fp_apzpeil_eail_in_c/gallery/DFB532FP-Dishwasher-front-open-view-DZ-02.jpg?w=800,,,,,,,,,,,,,
"LG Dishwasher,",,"LG Dishwasher, 14 Place Settings, QuadWash, EasyRack Plus, ThinQ (Wi-Fi), Inverter Direct Drive, ",LG,Dishwasher,Home & Kitchen appliances,DFB512FP,,,,Silver,,,,,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb532fp_apzpeil_eail_in_c/gallery/DFB532FP-Dishwasher-front-view-DZ-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/dishwasher/dfb512fp_apzpeil_eail_in_c/gallery/DFB512FP-DZ-4.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG Water Purifier,,,,,,,,,,,Filtration Process,Hygiene Type,UV Indicator,Attribute Capacity (L),,,,,,,,,,,,,,,,,,,
LG Water Purifier,,"LG RO+UV+Mineral Booster Water Purifier with Steel Tank, ",LG,Water Purifier,Home & Kitchen appliances,WW156RTTC,33499,,,Crimson Red,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/ww156rttc-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/WW156RPTC-DZ-7.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,,,,,,,,,,,,,
LG Water Purifier,,LGL RO+UV+Mineral Booster Water Purifier with Steel Tank,LG,Water Purifier,Home & Kitchen appliances,WW156RTTB,33399,,,Black,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttb/ww156rttb-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttb/WW156RPTB-DZ-2.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,,,,,,,,,,,,,
LG Water Purifier,,"LG RO+UV+Mineral Booster Water Purifier with Steel Tank, ",LG,Water Purifier,Home & Kitchen appliances,WW184ETC,38999,,,Crimson Red,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww184etc/ww184etc-s-1.jpg,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww184etc/WW184EPC-Water-purifiers-Front-View-Open-S-02.jpg,,,,,,,,,,,,,
LG Water Purifier,,"LG RO+UV+UF+Mineral Booster Water Purifier with Steel Tank, ",LG,Water Purifier,Home & Kitchen appliances,WW184ETB,39999,,,Black,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww184etb/WW184EPB-Water-purifiers-Front-View-S-01v.jpg,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww184etb/WW184EPB-Water-purifiers-Front-View-Open-S-02.jpg,,,,,,,,,,,,,
LG Water Purifier,,"LG RO Water Purifier, Stainless Steel Tank, Digital Sterilizing Care, True Maintenance,",LG,Water Purifier,Home & Kitchen appliances,WW132NF,19999,,, Solid Black ,Multi Stage,RO,No,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/ww156rttc-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=804,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/WW156RPTC-DZ-7.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=804,,,,,,,,,,,,,
LG Water Purifier,,"LG RO+UV+Mineral Booster Water Purifier, Steel Tank",LG,Water Purifier,Home & Kitchen appliances,WW155NTB,31999,,,Black,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww155ntb/ww155ntb-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww155ntb/WW155NPB-S2.jpg,,,,,,,,,,,,,
LG Water Purifier,,"LG RO+UV+Mineral Booster Water Purifier, Steel Tank",LG,Water Purifier,Home & Kitchen appliances,WW155NTB,31999,,,Black,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww155ntb/ww155ntb-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww155ntb/WW155NPB-S6.jpg,,,,,,,,,,,,,
LG Water Purifier,,LG RO+Mineral Booster Water Purifier with Steel Tank ,LG,Water Purifier,Home & Kitchen appliances,WW146RTLC,26999,,,Crimson Red,Multi Stage,RO,No,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/images/water-purifiers/ww146rtlc_bslqeil_eail_in_c/gallery/ww146rtlc-dz-01.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=800,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/WW156RPTC-DZ-7.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=807,,,,,,,,,,,,,
LG Water Purifier,,"LG 8L RO+UV+Mineral Booster Water Purifier with Steel Tank, ",LG,Water Purifier,Home & Kitchen appliances,WW156RTTC,33499,,,Crimson Red,Multi Stage,RO+UV,YES,8L,,,,,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/ww156rttc-dz-1.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=808,https://www.lg.com/content/dam/channel/wcms/in/water-purifiers/gallery/ww156rttc/WW156RPTC-DZ-7.jpg/jcr:content/renditions/thum-1600x1062.jpeg?w=808,,,,,,,,,,,,,
