Column 1,Parent_SKU,Product_Name,Brand,Category,Sub_Category,Model_Number,MRP,Selling_Price,Stock_Quantity,Attribute_Color,Attribute_Storage,Attribute_RAM,Filter_OS,Filter_Screen_Size_inch,Filter_Display_Type,Filter included softwear,Filter_Processor,Filter_Battery_mAh,Short_Description,Long_Description,Whats_In_The_Box,Image_URL_1,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Image_URL_6,Video_URL_1,Video_URL_2,HSN_Code,GST_Rate,Shipping_Weight_kg,Shipping_Dimensions_cm,URL_Slug,Meta_Title,Meta_Description
SAM_Book5 Pro-512GB-G,SAM-Book5 Pro,Samsung Galaxy Book5Pro,Samsung,Laptop,Laptop & Computers,NP960XHA-LG1,175188,,,Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel  Core Ultra 7 processor 256V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Color_selection_Gray_16inch_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Gray_WIB_16inch_IN_PC.jpg?imbypass=true,,,,,,,,,,,,,
SAM_Book5 Pro-1TB-G,SAM-Book5 Pro,Samsung Galaxy Book5Pro,Samsung,Laptop,Laptop & Computers,NP940XHA-LG4,187190,,,Gray,1TB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel  Core Ultra 7 processor 256V,5 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Color_selection_Gray_16inch_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-Pro_Gray_WIB_16inch_IN_PC.jpg?imbypass=true,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_Book5 360-512GB-G,SAM-Book5 360,Samsung Galaxy Book5 360,Samsung,Laptop,Laptop & Computers,NP750QHA-LG1,153588,,,Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office,Intel Core Ultra 7processor 226V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book5 360-1TB-G,SAM-Book5 360,Samsung Galaxy Book5 360,Samsung,Laptop,Laptop & Computers,NP750QHA-LG4,235190,,,Gray,1TB,32GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Displa,MS Office,Intel Core Ultra 7processor 258V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book5 360-1TB-G,SAM-Book5 360,Samsung Galaxy Book5 360,Samsung,Laptop,Laptop & Computers,NP750QHA-LG4,166790,,,Gray,1TB,16GB,Windows 11 Home,15.6,Full HD AMOLED Display,MS Office,Intel Core Ultra 7processor 256V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book5 360-512GB-G,SAM-Book5 360,Samsung Galaxy Book5 360,Samsung,Laptop,Laptop & Computers,NP750QHA-LG2,167790,,,Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Displa,MS Office,Intel Core Ultra 7processor 256V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAM_Book5 Pro 360-512GB-G,SAM-Book5 Pro 360,Samsung Galaxy Book5 Pro 360,Samsung,Laptop,Laptop & Computers,NP960QHA-KG3,187190,,,Gray,512GB,16GB,Windows 11 Home,16,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel Core Ultra 7processor 226V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
SAM_Book5 Pro 360-512GB-G,SAM-Book5 Pro 360,Samsung Galaxy Book5 Pro 360,Samsung,Laptop,Laptop & Computers,NP960QHA-KG1,167990,,,Gray,512GB,16GB,Windows 11 Home,14,WQXGA+ Dynamic AMOLED 2X Display,MS Office,Intel Core Ultra 7processor 256V,4 Cell Lithium Ion,,,,https://images.samsung.com/is/image/samsung/assets/in/galaxy-book5/buy/Galaxy-Book5-360_Color_selection_Gray_UK_PC.jpg?imbypass=true,https://images.samsung.com/is/image/samsung/p6pim/in/np750qha-lg3in/gallery/in-galaxy-book5-360-15-inch-np750-538823-np750qha-lg3in-545171692?$LazyLoad_Home_JPG$,,,,,,,,,,,,,
